date,median,mean_7
8/7/19,2.886742123,1.688811996
8/8/19,1.998061451,1.774089596
8/9/19,1.047413502,1.673735764
8/10/19,0.679787811,1.405528359
8/11/19,0.716935475,1.347118506
8/12/19,0.489324,1.36522025
8/13/19,0.344077549,1.355608151
8/14/19,0.271054644,0.927202173
8/15/19,1.948536238,0.920299298
8/16/19,4.374809223,1.533181897
8/17/19,4.385300763,2.196293624
8/18/19,2.037075298,2.377349751
8/19/19,0.665295557,2.39710973
8/20/19,0.283756829,2.389056319
8/21/19,1.083127181,2.49348532
8/22/19,1.029274546,2.367081759
8/23/19,0.815914002,1.724037538
8/24/19,1.278717415,1.140368903
8/25/19,0.695635354,0.955155948
8/26/19,0.654924601,0.954636326
8/27/19,0.088941919,0.927946259
8/28/19,0.103237498,0.799125989
8/29/19,0.167327187,0.687705822
8/30/19,0.215101921,0.613237014
8/31/19,0.110393275,0.463153476
9/1/19,0.139760429,0.395195696
9/2/19,0.179381949,0.33800018
9/3/19,0.52206047,0.393057616
9/4/19,1.251611524,0.543039748
9/5/19,0.483032037,0.582361363
9/6/19,0.658789852,0.635427876
9/7/19,2.24385453,0.923055754
9/8/19,1.924850665,1.160444554
9/9/19,1.073853676,1.275770046
9/10/19,0.423009691,1.264876075
9/11/19,0.288491104,1.141588873
9/12/19,0.044874345,1.08170008
9/13/19,0.004850744,0.985886474
9/14/19,0.028840863,0.680633709
9/15/19,0.115911944,0.439641017
9/16/19,2.095111537,0.579447806
9/17/19,7.213553488,2.068347712
9/18/19,1.016469806,2.159809546
9/19/19,0.573537251,2.230720331
9/20/19,0.074529267,2.250782235
9/21/19,0.013619762,2.244741681
9/22/19,0.845072435,2.337034227
9/23/19,1.625711904,2.26837324
9/24/19,1.537336421,0.925311082
9/25/19,1.961958011,1.05732176
9/26/19,1.624446253,1.195365384
9/27/19,2.509561043,1.533841076
9/28/19,3.026752249,2.009513863
9/29/19,1.20106071,2.057374004
9/30/19,0.445800579,1.903996844
10/1/19,0.252613213,1.737665853
10/2/19,0.099409211,1.487665248
10/3/19,1.010896158,1.407311188
10/4/19,1.978064361,1.32634427
10/5/19,4.106549256,1.573180047
10/6/19,1.134556398,1.563827285
10/7/19,1.117400254,1.651829249
10/8/19,3.627413468,2.19088153
10/9/19,1.807425057,2.418227618
10/10/19,2.956637444,2.729135646
10/11/19,2.998794239,2.912939122
10/12/19,2.964327086,2.640567113
10/13/19,1.981592364,2.758610839
10/14/19,2.01962388,2.883304545
10/15/19,5.911515719,3.572887713
10/16/19,3.243944754,3.850442344
10/17/19,2.506464297,3.756161338
10/18/19,1.836442789,3.552862974
10/19/19,3.028395789,3.557883852
10/20/19,4.419919102,4.0613216
10/21/19,4.498139814,4.615909742
10/22/19,1.321193314,3.523209252
10/23/19,1.481286618,3.197827796
10/24/19,1.075443566,2.991504593
10/25/19,2.487149236,3.086541247
10/26/19,1.229282443,2.798475591
10/27/19,0.916097968,2.148968352
10/28/19,1.985723915,1.589133341
10/29/19,2.673718688,1.790865103
10/30/19,3.582120446,2.16082246
10/31/19,1.360204071,2.196554004
11/1/19,4.749784825,2.694901343
11/2/19,1.593693518,2.742357304
11/3/19,0.856303108,2.733238686
11/4/19,1.108757302,2.613164453
11/5/19,0.685885308,2.328780654
11/6/19,0.838831704,1.874769484
11/7/19,0.710763092,1.789359235
11/8/19,2.015065092,1.221281201
11/9/19,2.9114073,1.44437699
11/10/19,2.562615329,1.688192309
11/11/19,2.273305106,1.849387903
11/12/19,6.744212865,3.037660471
11/13/19,5.978865382,4.064964781
11/14/19,3.513953383,4.528339471
11/15/19,1.977171547,4.522654789
11/16/19,4.18099044,4.803161478
11/17/19,3.225840091,4.932651324
11/18/19,1.97191957,4.890018778
11/19/19,1.291188791,3.779967763
11/20/19,2.287799243,2.95507952
11/21/19,1.432595378,2.587029843
11/22/19,4.147757913,3.040770891
11/23/19,1.644807222,2.543503279
11/24/19,1.787437158,2.295412196
11/25/19,0.825488866,2.137392725
11/26/19,0.578547031,2.045248921
11/27/19,0.765425495,1.832925799
11/28/19,0.569746779,1.719078634
11/29/19,0.423497709,1.056055168
11/30/19,0.849345025,0.953069671
12/1/19,0.800503621,0.820906728
12/2/19,0.109477985,0.72984387
12/3/19,0.332132491,0.699936055
12/4/19,0.657278507,0.684803438
12/5/19,1.460143684,0.802447049
12/6/19,3.56932298,1.295565747
12/7/19,4.686840692,2.008422295
12/8/19,5.150395614,2.858917749
12/9/19,1.491151401,3.03616824
12/10/19,1.876096575,3.241918937
12/11/19,2.941185579,3.581776109
12/12/19,6.718625906,4.727557105
12/13/19,3.460536981,4.738349802
12/14/19,4.181745871,4.61673566
12/15/19,9.021690853,6.043189179
12/16/19,4.549865407,6.685228894
12/17/19,6.746140173,7.754634402
12/18/19,2.529634608,7.678896385
12/19/19,2.771026455,6.738051183
12/20/19,3.17057754,6.649533212
12/21/19,5.682099928,6.981292846
12/22/19,10.42987956,7.352141718
12/23/19,10.32197464,9.304847983
12/24/19,4.872990992,8.868881076
12/25/19,8.796668662,10.70179546
12/26/19,4.620208555,11.12421594
12/27/19,4.707778409,11.46235065
12/28/19,4.550246932,11.20257536
12/29/19,8.416661978,10.31200013
12/30/19,6.492687292,8.815902929
12/31/19,4.256553301,8.667999154
1/1/20,0.762960019,6.58353151
1/2/20,0.11764374,5.77994942
1/3/20,0.052151237,4.974795719
1/4/20,0.335939574,4.244990963
1/5/20,0.092242428,2.396654965
1/6/20,0.04195225,1.108115637
1/7/20,0.109836659,0.387635033
1/8/20,2.242138553,0.595409566
1/9/20,1.367912791,0.758976742
1/10/20,2.595466422,1.115771684
1/11/20,0.892483311,1.18723058
1/12/20,0.21765959,1.203880935
1/13/20,0.650967171,1.280844895
1/14/20,2.447041084,1.602295086
1/15/20,1.85376599,1.54407522
1/16/20,2.266347773,1.674158055
1/17/20,7.311255256,2.733140301
1/18/20,5.920383433,3.705407906
1/19/20,6.336663978,4.880478535
1/20/20,7.217247577,6.208057295
1/21/20,8.325651328,7.702675788
1/22/20,2.174483829,7.751314049
1/23/20,0.558865521,7.514148438
1/24/20,0.192969064,6.121408132
1/25/20,1.879664277,5.284878178
1/26/20,1.503304944,4.277012856
1/27/20,1.643198329,3.085882097
1/28/20,3.618474904,1.816662832
1/29/20,1.213610075,1.681590035
1/30/20,2.114073211,1.895281851
1/31/20,1.003474949,1.999864072
2/1/20,1.435928224,1.937009758
2/2/20,0.519422844,1.807053227
2/3/20,0.087775974,1.601954613
2/4/20,0.260825702,1.075484568
2/5/20,0.751875868,1.010938009
2/6/20,0.697828016,0.813568884
2/7/20,0.288259246,0.715782021
2/8/20,0.157082307,0.548891757
2/9/20,0.214440075,0.512417082
2/10/20,0.451793036,0.558479244
2/11/20,3.160427167,0.995889066
2/12/20,6.773920734,2.210729455
2/13/20,4.286179938,2.842165932
2/14/20,6.958801973,4.195255651
2/15/20,1.337322306,4.34800758
2/16/20,1.39021794,4.499737425
2/17/20,1.81192545,4.682427844
2/18/20,0.412874693,4.263164161
2/19/20,0.570074651,3.026290197
2/20/20,0.757568086,2.404250525
2/21/20,0.931298554,1.138181706
2/22/20,2.989545416,1.38450994
2/23/20,3.38631326,1.701793789
2/24/20,1.307634456,1.632799827
2/25/20,5.373261724,2.537909406
2/26/20,2.745684182,2.845831594
2/27/20,3.642484975,3.300204991
2/28/20,1.80823891,3.416398993
2/29/20,3.547733374,3.532370845
3/1/20,2.037426109,3.306982653
3/2/20,8.389367477,4.986408473
3/3/20,1.193818185,4.182103597
3/4/20,0.452313191,3.860887921
3/5/20,1.547715397,3.512322981
3/6/20,1.915413592,3.530492423
3/7/20,0.19587646,3.021946984
3/8/20,0.100839302,2.762549998
3/9/20,0.304356274,0.954048596
3/10/20,0.192054285,0.826212003
3/11/20,0.345822128,0.8133513
3/12/20,0.127906279,0.628375438
3/13/20,0.433804284,0.430168988
3/14/20,7.080261312,1.771138985
3/15/20,3.056460117,2.213678367
3/16/20,1.4411383,2.360622503
3/17/20,5.446907022,3.279895989
3/18/20,5.127842168,4.101995837
3/19/20,14.70328625,9.202809716
3/20/20,1.418767533,9.328580112
3/21/20,0.525924457,8.026968109
3/22/20,0.440713794,7.628600638
3/23/20,4.570031117,8.261856276
3/24/20,4.581873636,8.105199332
3/25/20,0.731637549,7.330579618
3/26/20,0.723954999,2.306031934
3/27/20,2.577522727,2.473436433
3/28/20,3.115486204,2.85193968
3/29/20,1.556794878,2.998356821
3/30/20,14.23434099,6.462604218
3/31/20,12.71110735,9.395060159
4/1/20,3.231242119,9.795145225
4/2/20,5.208782095,10.62573725
4/3/20,2.566985126,10.62673165
4/4/20,6.028507714,11.27663761
4/5/20,3.203043341,11.5314721
4/6/20,7.050578589,8.563213319
4/7/20,7.559958344,6.2839815
4/8/20,11.16004937,8.565021033
4/9/20,17.56609974,13.88294798
4/10/20,2.886153781,13.94162963
4/11/20,10.69579578,15.6597399
4/12/20,4.394168449,15.9621762
4/13/20,10.05526375,17.33122096
4/14/20,4.592341089,16.72520061
4/15/20,3.101099656,14.41427069
4/16/20,3.621224925,8.744631256
4/17/20,2.428569085,8.66653014
4/18/20,6.751867862,7.307909253
4/19/20,2.439558351,6.889609447
4/20/20,5.486604095,5.224556518
4/21/20,2.113186844,4.672988144
4/22/20,2.834119359,4.615798124
4/23/20,2.736660805,4.439111832
4/24/20,4.919914401,4.956027177
4/25/20,12.95583441,7.354407337
4/26/20,5.638274721,8.051123323
4/27/20,4.513153675,7.782418029
4/28/20,9.549367922,9.787538881
4/29/20,1.989448452,9.647506016
4/30/20,5.80653718,10.3037612
5/1/20,4.169966119,10.12400124
5/2/20,14.66499583,10.5166011
5/3/20,6.073703165,10.61067202
5/4/20,5.40880379,10.81857415
5/5/20,5.764394041,9.566566521
5/6/20,14.8444895,14.26341749
5/7/20,9.331396696,15.49143033
5/8/20,11.46702661,17.92477794
5/9/20,7.898831672,15.27620238
5/10/20,9.283992244,16.30456402
5/11/20,2.963161825,15.77957612
5/12/20,2.474448258,15.07596367
5/13/20,8.781047469,12.017605
5/14/20,7.866163134,11.51610694
5/15/20,5.233592789,9.348268902
5/16/20,4.095144779,8.421006025
5/17/20,7.255824863,7.67642738
5/18/20,6.921159589,8.578565471
5/19/20,7.365730149,9.749840829
5/20/20,1.503383982,8.039816683
5/21/20,2.496803552,6.602136203
5/22/20,1.705118731,5.890706248
5/23/20,5.972049483,6.309344528
5/24/20,9.519373479,7.21802531
5/25/20,4.389099327,6.632458078
5/26/20,4.099024097,5.801843563
5/27/20,2.555241884,5.956720042
5/28/20,3.862583191,6.228701618
5/29/20,4.053803089,6.669804865
5/30/20,3.903334269,6.233185164
5/31/20,4.139472567,4.589198463
6/1/20,8.451452979,5.870806168
6/2/20,4.486638345,5.975827356
6/3/20,3.677243364,6.208038123
6/4/20,2.592528234,5.952298154
6/5/20,1.942014424,5.547532589
6/6/20,3.148969859,5.36062624
6/7/20,8.252203305,6.618591948
6/8/20,3.055518335,5.041286458
6/9/20,1.054743297,4.397812502
6/10/20,1.604265636,4.023702797
6/11/20,5.285270988,4.612994541
6/12/20,4.389041999,5.147098883
6/13/20,1.982373805,4.948462847
6/14/20,2.691866256,3.38182307
6/15/20,0.834333869,3.031891699
6/16/20,0.755010856,2.990296831
6/17/20,7.882487757,4.640353258
6/18/20,3.536542391,4.247961183
6/19/20,1.49636682,3.649128555
6/20/20,1.121824455,3.528662781
6/21/20,0.637221025,3.235317277
6/22/20,0.952472706,3.252506673
6/23/20,6.012734746,4.290137978
6/24/20,1.693710808,2.651550936
6/25/20,0.86351865,2.208783115
6/26/20,0.999575029,2.145106383
6/27/20,1.65463762,2.215590278
6/28/20,2.723773808,2.51308986
6/29/20,2.592363887,2.747771416
6/30/20,3.483413124,2.169889563
7/1/20,3.723429139,2.53653501
7/2/20,2.484253771,2.764334161
7/3/20,4.048745118,3.298401093
7/4/20,2.674270082,3.454662122
7/5/20,2.53509286,3.425216338
7/6/20,1.656224711,3.281549518
7/7/20,2.006181537,2.99592811
7/8/20,1.415476815,2.592850789
7/9/20,0.997477823,2.382540387
7/10/20,2.435763492,2.052380824
7/11/20,2.720479264,2.07782963
7/12/20,0.94360817,1.851645858
7/13/20,1.209319396,1.793324753
7/14/20,1.408673481,1.705667933
7/15/20,0.78852595,1.622441221
7/16/20,0.589942534,1.56760167
7/17/20,0.836731356,1.340489187
7/18/20,0.907615314,1.060363837
7/19/20,0.230984529,0.969277856
7/20/20,0.072096371,0.82006861
7/21/20,0.166572566,0.660149629
7/22/20,0.828194071,0.665700379
7/23/20,1.446684119,0.779202523
7/24/20,1.760820318,0.90445042
7/25/20,0.750462367,0.88246238
7/26/20,0.198300278,0.878319017
7/27/20,0.084794467,0.880499761
7/28/20,0.247571826,0.891867724
7/29/20,0.024579814,0.783272606
7/30/20,0.001674114,0.582253671
7/31/20,0.009687248,0.341047272
8/1/20,0.020903151,0.242462485
8/2/20,0.090572283,0.226383355
8/3/20,0.067173957,0.22331147
8/4/20,0.070803545,0.198054928
8/5/20,0.759855873,0.296628519
8/6/20,0.437032662,0.365047839
8/7/20,0.056192966,0.378506559
8/8/20,0.035483925,0.38232123
8/9/20,0.037780253,0.372884844
8/10/20,0.031639523,0.366165175
8/11/20,0.088048121,0.369496619
8/12/20,0.620545171,0.351144863
8/13/20,0.871874824,0.409203007
8/14/20,0.041853413,0.406418285
8/15/20,0.023576147,0.403339521
8/16/20,0.035836409,0.402343923
8/17/20,0.264103961,0.438573413
8/18/20,0.440219546,0.483757351
8/19/20,0.128264276,0.424329153
8/20/20,0.012102753,0.303792315
8/21/20,0.003347573,0.288205617
8/22/20,0.118992776,0.30125273
8/23/20,0.126257182,0.309908615
8/24/20,0.101260687,0.283114041
8/25/20,0.325175721,0.267341093
8/26/20,0.603733393,0.32553101
8/27/20,0.31556559,0.375641274
8/28/20,0.783278456,0.488539198
8/29/20,1.997927111,0.74537591
8/30/20,2.428055922,1.086389073
8/31/20,0.816830539,1.18086428
9/1/20,0.961813089,1.264049379
9/2/20,0.233929868,1.220029788
9/3/20,0.093281076,1.189490738
9/4/20,0.221262915,1.120318057
9/5/20,0.012754311,0.846886701
9/6/20,0.00843429,0.48843918
9/7/20,0.021654714,0.381474665
9/8/20,0.216123128,0.287530423
9/9/20,0.409968201,0.308558666
9/10/20,0.381506155,0.344930001
9/11/20,1.508664904,0.510713839
9/12/20,0.211890416,0.545773431
9/13/20,0.184074113,0.579646569
